Price,Close,High,Low,Open,Volume
Ticker,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS
Date,,,,,
2017-01-02,478.4356994628906,480.05654045346347,460.75405937219693,463.65189571152354,4024156
2017-01-03,472.5909729003906,483.98581409881575,471.4121848537922,482.3158693624389,5814518
2017-01-04,478.0428161621094,484.9681437064166,475.53792895155067,476.0781893372551,4769872
2017-01-05,493.2686767578125,494.49656853007525,486.7854022047001,487.22745523384526,7961242
2017-01-06,488.9465026855469,498.96611151724517,487.47303256193396,494.05454443853546,4907475
2017-01-09,491.3040466308594,495.6753533019611,483.44553934102356,490.5673115724373,3932710
2017-01-10,507.1192932128906,508.83834166445973,497.00147717478563,497.5908412330628,7973024
2017-01-11,510.06622314453125,514.683108026907,508.00338902644773,511.0485365256473,4886398
2017-01-12,509.08392333984375,514.7322254318922,504.12325262404477,512.4729165862033,4219627
2017-01-13,505.7440185546875,513.9954749100863,498.5240392104515,513.9954749100863,6367248
2017-01-16,517.0897827148438,520.0858265066438,507.8560130409304,509.4768540860871,6084582
2017-01-17,514.4375610351562,521.4119624838904,511.78530275336493,518.7597042020991,4297426
2017-01-18,513.2095947265625,520.2330988365484,511.9817031035952,513.7989587233286,5874608
2017-01-19,522.0504150390625,526.1269792588239,513.4551736679657,513.7498556667027,5810128
2017-01-20,513.9464111328125,519.938499220054,512.0308879063484,518.0721396308148,5013928
2017-01-23,523.2783813476562,525.4885865871009,513.7499289909194,513.9464036700009,4209879
2017-01-24,531.9718017578125,533.3961681574663,522.9345066229462,523.5730343055792,5183630
2017-01-25,539.1918334960938,542.1387736100335,531.9717942435515,533.641738965914,4504941
2017-01-27,532.36474609375,542.2369835310383,530.2036446755035,539.2900434031521,4493803
2017-01-30,522.8854370117188,533.8873596337569,521.4119668379365,532.4138894599747,4163428
2017-01-31,514.2901611328125,522.0995645408758,508.8383338328762,520.8225691304949,6035022
2017-02-01,532.659423828125,534.86962890625,513.65168413851,518.1703016493055,4786720
2017-02-02,522.099609375,528.091697560541,517.4827240742497,528.091697560541,6579801
2017-02-03,513.3569946289062,522.4925578500018,510.3118468589784,522.4925578500018,5298261
2017-02-06,516.5494995117188,522.0504907605061,513.9464048637193,518.5632900324135,3642527
2017-02-07,497.83642578125,515.5180672175223,493.1213333893745,515.5180672175223,7987282
2017-02-08,503.97589111328125,505.8423106045542,497.3452754891612,503.2882597240937,5975054
2017-02-09,503.7794189453125,508.83835709560947,496.80501756969977,506.2843661580861,4099871
2017-02-10,500.53778076171875,505.6949261094814,497.5417368841489,503.92677398137886,4732032
2017-02-13,496.36297607421875,503.6321196125536,494.398349167172,503.6321196125536,4700518
2017-02-14,473.524169921875,497.73821959474,458.2983119825501,494.10364796648025,14901414
2017-02-15,428.730712890625,444.98798833192996,426.66784867100426,441.1078382526951,38638630
2017-02-16,438.1117858886719,439.68349335827725,427.69925762759107,434.72279259414233,11622714
2017-02-17,444.9388732910156,448.524311260004,434.5754487766373,439.97817255884144,10063504
2017-02-20,447.3946533203125,450.3415935420439,441.0587198524596,443.51450337056906,5866707
2017-02-21,450.5380554199219,454.6146502198961,446.4614606199477,448.81900689168225,6875914
2017-02-22,451.91326904296875,458.44567715494753,447.738437080367,452.1097437146922,7315280
2017-02-23,454.172607421875,456.4810499121992,449.16280307598174,455.7934185396512,9492419
2017-02-27,449.7030944824219,455.7934499863011,447.05086610066394,455.7934499863011,5510484
2017-02-28,448.671630859375,451.86414930555554,446.0685064295928,451.86414930555554,5722402
2017-03-01,441.5007629394531,447.8366662868699,440.0763965398791,447.8366662868699,8367579
2017-03-02,453.53411865234375,459.624443878339,445.1844545704284,449.7522059843815,13667695
